date,timestamp,id,pkt,rssi,ax,ay,az,gx,gy,gz,gx_diff,gy_diff,gz_diff
25/06/2024 11:42,570 # timestamp: 85267983957942,81204,19852, RSSI: -17,-182,742,698,-17,-74,-28,,,
25/06/2024 11:42,678 # timestamp: 85272280170391,81204,19853, RSSI: 90,-179,748,670,90,-105,-9,,,
25/06/2024 11:42,782 # timestamp: 85276574941085,81204,19854, RSSI: 61,-182,748,679,61,-99,-12,,,
25/06/2024 11:42,889 # timestamp: 85276575727516,81204,19855, RSSI: 110,-180,745,681,110,-100,0,,,
25/06/2024 11:42,996 # timestamp: 85285165268902,81204,19856, RSSI: 61,-185,751,693,61,-90,-6,,,
25/06/2024 11:42,104 # timestamp: 85289458597815,81204,19857, RSSI: -15,-183,744,699,-15,-73,-31,,,
25/06/2024 11:42,210 # timestamp: 85293753630629,81204,19858, RSSI: 11,-183,751,687,11,-91,-30,,,
25/06/2024 11:42,318 # timestamp: 85298049384352,81204,19859, RSSI: 50,-181,742,694,50,-96,-18,,,
25/06/2024 11:42,424 # timestamp: 85302344679325,81204,19860, RSSI: 66,-183,746,688,66,-99,-13,,,
25/06/2024 11:42,529 # timestamp: 85306639974307,81204,19861, RSSI: 69,-181,739,689,69,-93,-8,,,
25/06/2024 11:42,638 # timestamp: 85310933761976,81204,19862, RSSI: -10,-185,746,698,-10,-72,-26,,,
25/06/2024 11:42,745 # timestamp: 85315229056948,81204,19863, RSSI: -6,-182,739,700,-6,-76,-21,,,
25/06/2024 11:42,850 # timestamp: 85319523237800,81204,19864, RSSI: -11,-184,745,688,-11,-88,-33,,,
25/06/2024 11:42,959 # timestamp: 85323818663835,81204,19865, RSSI: 28,-184,744,684,28,-101,-26,,,
25/06/2024 11:42,065 # timestamp: 85328114417581,81204,19866, RSSI: 25,-182,741,689,25,-83,-14,,,
25/06/2024 11:42,171 # timestamp: 85332409122733,81204,19867, RSSI: 66,-181,737,688,66,-83,-18,,,
25/06/2024 11:42,279 # timestamp: 85336704876445,81204,19868, RSSI: 74,-183,738,695,74,-99,-6,,,
25/06/2024 11:42,386 # timestamp: 85340999647138,81204,19869, RSSI: 60,-184,738,696,60,-94,-9,,,
25/06/2024 11:42,491 # timestamp: 85345294024619,81204,19870, RSSI: 31,-183,741,697,31,-85,-18,,,
25/06/2024 11:42,599 # timestamp: 85349589319577,81204,19871, RSSI: 70,-184,741,691,70,-103,-13,,,
25/06/2024 11:42,707 # timestamp: 85353884352429,81204,19872, RSSI: 32,-184,742,698,32,-83,-12,,,
25/06/2024 11:42,812 # timestamp: 85358179385256,81204,19873, RSSI: 51,-184,742,698,51,-88,-11,,,
25/06/2024 11:42,918 # timestamp: 85362473303969,81204,19874, RSSI: 24,-186,745,697,24,-95,-27,,,
25/06/2024 11:42,027 # timestamp: 85366769188780,81204,19875, RSSI: 42,-183,744,691,42,-84,-13,,,
25/06/2024 11:42,132 # timestamp: 85371064156082,81204,19876, RSSI: 31,-182,739,695,31,-78,-13,,,
25/06/2024 11:42,240 # timestamp: 85375358009252,81204,19877, RSSI: 9,-184,743,703,9,-92,-30,,,
25/06/2024 11:42,348 # timestamp: 85379652911021,81204,19878, RSSI: -7,-185,743,702,-7,-83,-31,,,
25/06/2024 11:42,454 # timestamp: 85383948205985,81204,19879, RSSI: 20,-183,744,694,20,-95,-26,,,
25/06/2024 11:42,561 # timestamp: 85388244287411,81204,19880, RSSI: 21,-182,744,712,21,-77,-9,,,
25/06/2024 11:42,667 # timestamp: 85392538337204,81204,19881, RSSI: 1,-181,740,701,1,-76,-23,,,
