date,timestamp,id,pkt,rssi,ax,ay,az,gx,gy,gz,gx_diff,gy_diff,gz_diff
25/06/2024 11:41,717 # timestamp: 4565547417550,32139,1062, RSSI: 38,-490,-198,853,38,-50,-44,0.0,0.0,0.0
25/06/2024 11:41,719 # timestamp: 4569842319319,32139,1063, RSSI: 36,-500,-196,867,36,-41,-45,,,
25/06/2024 11:41,721 # timestamp: 4574137941966,32139,1064, RSSI: 55,-487,-200,864,55,-50,-35,,,
25/06/2024 11:41,723 # timestamp: 4578432319442,32139,1065, RSSI: 36,-483,-195,856,36,-46,-44,,,
25/06/2024 11:41,726 # timestamp: 4587022778320,32139,1067, RSSI: 51,-489,-197,864,51,-48,-36,,,
25/06/2024 11:41,728 # timestamp: 4591317745618,32139,1068, RSSI: 49,-499,-205,860,49,-46,-36,,,
25/06/2024 11:41,732 # timestamp: 4595611664338,32139,1069, RSSI: 22,-484,-194,860,22,-46,-52,,,
25/06/2024 11:41,735 # timestamp: 4599908728784,32139,1070, RSSI: 78,-500,-205,865,78,-48,-20,,,
25/06/2024 11:41,773 # timestamp: 4604201009109,32139,1071, RSSI: 7,-491,-200,861,7,-43,-61,,,
25/06/2024 11:41,882 # timestamp: 4608498139090,32139,1072, RSSI: 66,-493,-194,864,66,-46,-28,,,
25/06/2024 11:41,983 # timestamp: 4612790222806,32139,1073, RSSI: -10,-494,-188,858,-10,-42,-72,,,
25/06/2024 11:41,090 # timestamp: 4617087877074,32139,1074, RSSI: 60,-490,-189,867,60,-46,-31,,,
25/06/2024 11:41,197 # timestamp: 4621381664723,32139,1075, RSSI: 31,-495,-201,849,31,-45,-49,,,
25/06/2024 11:41,303 # timestamp: 4625676894168,32139,1076, RSSI: 34,-498,-189,869,34,-40,-45,,,
25/06/2024 11:41,408 # timestamp: 4629971664847,32139,1077, RSSI: 20,-489,-200,899,20,-49,-48,,,
25/06/2024 11:41,515 # timestamp: 4634267877317,32139,1078, RSSI: 53,-483,-205,835,53,-59,-29,,,
25/06/2024 11:41,622 # timestamp: 4638561861578,32139,1079, RSSI: 38,-478,-197,854,38,-54,-44,,,
25/06/2024 11:41,731 # timestamp: 4642856304596,32139,1080, RSSI: -12,-489,-182,863,-12,-44,-52,,,
25/06/2024 11:41,838 # timestamp: 4647153172436,32139,1081, RSSI: 73,-485,-203,874,73,-44,-23,,,
25/06/2024 11:41,943 # timestamp: 4651444666328,32139,1082, RSSI: -18,-485,-188,863,-18,-40,-76,,,
25/06/2024 11:41,057 # timestamp: 4655741599706,32139,1083, RSSI: 33,-490,-188,875,33,-38,-46,,,
25/06/2024 11:41,158 # timestamp: 4660036370394,32139,1084, RSSI: 30,-482,-197,868,30,-38,-49,,,
25/06/2024 11:41,265 # timestamp: 4664331010008,32139,1085, RSSI: 22,-497,-186,850,22,-40,-54,,,
25/06/2024 11:41,371 # timestamp: 4668626632645,32139,1086, RSSI: 36,-488,-190,829,36,-59,-44,,,
25/06/2024 11:41,478 # timestamp: 4672921534428,32139,1087, RSSI: 34,-495,-196,884,34,-36,-45,,,
25/06/2024 11:41,586 # timestamp: 4677216763854,32139,1088, RSSI: 42,-498,-198,879,42,-50,-41,,,
25/06/2024 11:41,692 # timestamp: 4681511141333,32139,1089, RSSI: 25,-500,-205,904,25,-43,-50,,,
25/06/2024 11:41,799 # timestamp: 4685806567363,32139,1090, RSSI: 38,-495,-188,843,38,-61,-43,,,
25/06/2024 11:41,907 # timestamp: 4690101272535,32139,1091, RSSI: 34,-494,-194,852,34,-41,-47,,,
25/06/2024 11:41,013 # timestamp: 4694396305365,32139,1092, RSSI: 32,-499,-194,871,32,-43,-46,,,
25/06/2024 11:41,118 # timestamp: 4698691796941,32139,1093, RSSI: 48,-496,-192,866,48,-51,-38,,,
25/06/2024 11:41,226 # timestamp: 4702986436549,32139,1094, RSSI: 40,-490,-198,835,40,-59,-43,,,
25/06/2024 11:41,332 # timestamp: 4707280814023,32139,1095, RSSI: 23,-490,-187,846,23,-57,-52,,,
25/06/2024 11:41,446 # timestamp: 4711576436692,32139,1096, RSSI: 39,-494,-196,866,39,-44,-42,,,
25/06/2024 11:41,546 # timestamp: 4715871141841,32139,1097, RSSI: 35,-486,-191,864,35,-47,-46,,,
25/06/2024 11:41,662 # timestamp: 4720165912533,32139,1098, RSSI: 29,-490,-193,870,29,-43,-49,,,
25/06/2024 11:41,762 # timestamp: 4724461469648,32139,1099, RSSI: 42,-492,-190,863,42,-48,-40,,,
25/06/2024 11:41,866 # timestamp: 4728756240338,32139,1100, RSSI: 41,-485,-191,864,41,-46,-43,,,
25/06/2024 11:41,975 # timestamp: 4733050814421,32139,1101, RSSI: 28,-486,-195,868,28,-43,-49,,,
25/06/2024 11:42,080 # timestamp: 4737346306007,32139,1102, RSSI: 46,-485,-192,873,46,-41,-41,,,
25/06/2024 11:42,189 # timestamp: 4741640617942,32139,1103, RSSI: 25,-487,-191,867,25,-42,-51,,,
25/06/2024 11:42,295 # timestamp: 4745936109524,32139,1104, RSSI: 39,-495,-198,873,39,-44,-43,,,
25/06/2024 11:42,410 # timestamp: 4750230814678,32139,1105, RSSI: 22,-494,-196,864,22,-42,-47,,,
25/06/2024 11:42,507 # timestamp: 4754526306260,32139,1106, RSSI: 46,-496,-195,869,46,-44,-39,,,
25/06/2024 11:42,615 # timestamp: 4758820683731,32139,1107, RSSI: 32,-493,-194,864,32,-45,-48,,,
25/06/2024 11:42,628 # timestamp: 4758820683731,32139,1107, RSSI: 32,-493,-194,864,32,-45,-48,,,
25/06/2024 11:42,722 # timestamp: 4763115716565,32139,1108, RSSI: 33,-493,-195,867,33,-43,-47,,,
25/06/2024 11:42,830 # timestamp: 4767411142612,32139,1109, RSSI: 44,-496,-194,865,44,-44,-40,,,
25/06/2024 11:42,935 # timestamp: 4771705651157,32139,1110, RSSI: 33,-492,-200,871,33,-43,-47,,,
25/06/2024 11:42,043 # timestamp: 4776000683990,32139,1111, RSSI: 32,-493,-197,870,32,-42,-46,,,
25/06/2024 11:42,155 # timestamp: 4780296044499,32139,1112, RSSI: 43,-496,-197,871,43,-45,-40,,,
25/06/2024 11:42,271 # timestamp: 4784590487509,32139,1113, RSSI: 29,-494,-198,863,29,-43,-48,,,
25/06/2024 11:42,363 # timestamp: 4788885782484,32139,1114, RSSI: 38,-496,-194,870,38,-44,-43,,,
25/06/2024 11:42,470 # timestamp: 4793179897813,32139,1115, RSSI: 16,-494,-193,867,16,-43,-56,,,
25/06/2024 11:42,576 # timestamp: 4797476175828,32139,1116, RSSI: 39,-492,-194,865,39,-44,-36,,,
25/06/2024 11:42,683 # timestamp: 4801770749909,32139,1117, RSSI: 41,-490,-196,875,41,-43,-42,,,
25/06/2024 11:42,790 # timestamp: 4806065258451,32139,1118, RSSI: 29,-491,-197,876,29,-45,-49,,,
25/06/2024 11:42,897 # timestamp: 4810360881107,32139,1119, RSSI: 46,-494,-197,875,46,-45,-39,,,
25/06/2024 11:42,004 # timestamp: 4814654930901,32139,1120, RSSI: 20,-492,-193,878,20,-43,-53,,,
25/06/2024 11:42,011 # timestamp: 4814654930901,32139,1120, RSSI: 20,-492,-193,878,20,-43,-53,,,
25/06/2024 11:42,111 # timestamp: 4818950815698,32139,1121, RSSI: 47,-493,-196,870,47,-46,-39,,,
25/06/2024 11:42,221 # timestamp: 4823244996564,32139,1122, RSSI: 25,-489,-197,872,25,-44,-51,,,
25/06/2024 11:42,324 # timestamp: 4827540750293,32139,1123, RSSI: 45,-492,-193,871,45,-43,-39,,,
25/06/2024 11:42,432 # timestamp: 4831835127763,32139,1124, RSSI: 31,-490,-193,869,31,-45,-48,,,
25/06/2024 11:42,538 # timestamp: 4836130553811,32139,1125, RSSI: 42,-492,-194,874,42,-45,-41,,,
25/06/2024 11:42,643 # timestamp: 4840424996820,32139,1126, RSSI: 29,-493,-195,874,29,-44,-49,,,
25/06/2024 11:42,752 # timestamp: 4844720553938,32139,1127, RSSI: 44,-489,-192,880,44,-46,-40,,,
25/06/2024 11:42,860 # timestamp: 4849015062484,32139,1128, RSSI: 30,-493,-196,874,30,-44,-47,,,
25/06/2024 11:42,965 # timestamp: 4853310488529,32139,1129, RSSI: 43,-491,-194,873,43,-47,-40,,,
